wx1,wx2,wx3,wx4,wx5,wina
D,S,T,S,T,-1.0
D,S,T,W,T,1.0
D,S,H,$,T,1.0
D,S,T,$,T,-1.0
D,S,T,S,T,1.0
D,S,T,F,T,-1.0
D,S,T,$,T,1.0
W,L,T,F,T,-1.0
D,S,T,F,T,1.0
D,S,T,F,T,-1.0
D,S,T,F,T,1.0
D,S,T,F,T,1.0
D,S,T,$,T,1.0
D,S,T,F,T,1.0
D,S,T,S,T,1.0
D,S,T,$,T,-1.0
D,S,T,$,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,F,T,1.0
W,H,T,S,T,1.0
D,S,T,F,T,-1.0
D,S,T,S,T,1.0
D,S,T,F,T,-1.0
D,S,T,S,T,-1.0
W,H,T,S,T,1.0
W,L,T,F,T,1.0
D,S,T,F,T,1.0
D,S,H,S,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,F,T,1.0
W,L,C,F,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
W,H,T,F,T,0.0
D,S,T,W,T,1.0
D,S,T,S,T,1.0
W,L,T,S,T,-1.0
D,S,T,S,T,1.0
D,S,T,S,T,-1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
W,H,T,S,T,1.0
W,L,T,S,T,-1.0
D,S,T,S,T,1.0
D,S,T,F,T,1.0
D,S,T,F,T,1.0
D,S,T,S,T,-1.0
D,S,T,S,T,1.0
D,S,T,$,T,1.0
D,S,T,S,T,1.0
D,S,T,F,T,1.0
D,S,T,S,T,1.0
W,L,C,$,T,-1.0
D,S,T,$,T,-1.0
D,S,T,S,T,1.0
D,S,T,$,T,-1.0
D,S,T,S,T,1.0
D,S,T,F,T,1.0
D,S,T,W,T,1.0
D,S,T,F,T,1.0
W,L,C,$,T,-1.0
D,S,T,F,T,1.0
D,S,T,S,T,1.0
W,H,T,S,E,-1.0
D,S,T,S,T,-1.0
D,S,H,S,T,1.0
D,S,T,F,T,-1.0
W,L,T,W,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
W,L,T,F,T,1.0
D,S,T,S,T,-1.0
W,H,T,F,T,1.0
D,S,H,S,T,-1.0
D,S,T,F,T,-1.0
D,S,T,F,T,1.0
W,L,T,S,T,1.0
D,S,T,S,T,-1.0
W,L,C,F,T,1.0
W,L,C,F,T,1.0
D,S,T,S,T,1.0
W,L,C,W,T,-1.0
D,S,T,F,T,1.0
W,L,C,W,T,1.0
D,,C,W,T,1.0
D,S,T,F,T,0.0
W,L,T,F,T,-1.0
D,S,T,F,T,-1.0
D,S,H,S,T,0.0
D,S,T,S,T,1.0
D,S,T,W,T,-1.0
D,S,T,$,T,1.0
D,S,T,$,T,1.0
D,S,T,F,T,-1.0
D,,T,S,T,-1.0
D,S,T,F,T,1.0
D,S,T,$,T,-1.0
D,S,T,S,T,1.0
D,S,T,F,T,1.0
D,S,T,S,T,-1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
W,H,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,F,T,1.0
D,,T,W,T,-1.0
D,,T,W,T,-1.0
D,S,H,S,T,1.0
D,S,H,S,D,1.0
D,S,T,$,T,-1.0
D,S,T,$,T,-1.0
D,S,H,$,T,-1.0
D,S,H,$,D,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
D,,T,F,T,1.0
D,,T,F,T,1.0
D,S,T,$,T,1.0
D,S,T,S,T,-1.0
W,H,T,W,T,-1.0
W,H,T,W,T,-1.0
D,S,T,W,T,-1.0
D,S,T,F,T,1.0
D,S,T,F,T,-1.0
W,H,C,W,T,0.0
D,S,T,S,T,1.0
D,S,T,S,T,-1.0
D,S,T,W,T,-1.0
D,S,T,$,T,-1.0
D,S,T,$,T,-1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,F,T,-1.0
D,S,T,$,T,-1.0
D,S,T,$,T,-1.0
D,S,T,$,T,-1.0
W,H,T,$,T,-1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,F,T,1.0
D,S,T,$,T,-1.0
W,L,T,$,T,1.0
D,S,T,S,T,-1.0
D,S,T,F,T,1.0
D,S,T,F,T,1.0
W,H,T,W,T,1.0
D,S,T,$,T,-1.0
D,S,T,$,T,1.0
W,L,T,S,T,1.0
W,L,T,S,T,-1.0
W,L,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,F,T,1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,W,T,-1.0
D,S,T,W,T,1.0
D,S,T,W,T,1.0
D,S,T,F,T,1.0
D,S,T,F,T,-1.0
D,S,T,W,T,1.0
D,S,T,S,T,-1.0
D,S,T,$,T,1.0
D,S,T,$,T,1.0
D,S,H,$,T,1.0
D,S,H,$,D,1.0
D,S,H,$,T,1.0
D,S,H,$,D,1.0
W,L,T,W,T,-1.0
W,L,T,W,D,-1.0
D,S,H,$,T,1.0
D,S,H,S,T,1.0
D,S,H,S,T,1.0
D,S,H,F,T,1.0
D,S,H,F,T,1.0
D,S,T,F,T,1.0
W,H,C,F,T,-1.0
D,S,H,S,T,1.0
D,S,H,S,T,1.0
W,H,T,S,T,1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,F,T,1.0
W,L,T,W,T,-1.0
D,S,C,W,T,-1.0
D,S,T,$,T,-1.0
D,S,T,$,T,-1.0
D,S,T,$,T,-1.0
D,S,T,$,T,1.0
D,S,T,$,T,1.0
D,S,T,S,T,-1.0
D,S,T,S,T,1.0
D,S,T,$,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,F,T,1.0
D,S,T,F,T,-1.0
D,S,T,F,T,-1.0
D,S,T,F,T,0.0
D,S,T,W,T,-1.0
W,L,C,W,T,0.0
D,S,T,$,T,-1.0
D,S,T,$,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,-1.0
D,S,T,F,T,1.0
W,L,T,F,T,1.0
D,S,T,F,T,1.0
W,L,T,F,T,1.0
D,S,T,F,T,1.0
D,S,T,$,T,-1.0
D,S,T,$,T,-1.0
D,S,T,$,T,-1.0
W,H,T,$,T,-1.0
W,L,T,S,T,1.0
D,S,T,S,T,-1.0
D,S,H,S,T,-1.0
D,S,H,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
D,S,T,S,T,-1.0
W,H,T,S,T,1.0
W,H,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,F,T,-1.0
D,S,T,F,T,-1.0
D,S,T,F,T,-1.0
D,S,T,W,T,1.0
D,S,T,$,T,-1.0
W,H,T,$,T,0.0
D,S,T,$,T,1.0
D,S,T,$,T,1.0
W,L,T,$,T,1.0
W,L,T,S,T,1.0
W,L,T,S,T,1.0
W,L,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,F,T,1.0
W,L,C,F,T,1.0
W,H,C,W,T,1.0
W,H,C,W,T,1.0
W,H,C,W,T,-1.0
D,S,H,S,T,1.0
D,S,H,S,T,1.0
D,S,T,W,T,-1.0
D,S,H,S,T,1.0
D,S,T,F,E,1.0
D,S,T,F,T,-1.0
D,S,T,F,D,-1.0
D,S,T,W,E,1.0
D,S,T,W,E,1.0
D,S,H,$,T,1.0
W,H,T,$,T,-1.0
D,S,H,$,T,-1.0
D,S,H,$,T,-1.0
D,S,H,$,T,-1.0
D,S,H,S,T,-1.0
D,S,H,S,T,0.0
D,S,H,S,T,1.0
D,S,T,$,T,1.0
D,S,T,S,T,1.0
D,S,T,S,T,1.0
D,S,T,F,T,-1.0
W,L,C,W,T,-1.0
D,S,T,W,T,1.0
W,H,T,F,T,1.0
D,S,T,F,T,1.0
W,H,T,F,T,1.0
W,H,T,F,T,1.0
W,H,T,F,T,1.0
W,H,T,$,T,1.0
D,S,T,S,T,1.0
W,L,T,S,T,1.0
D,S,T,S,T,1.0
W,L,T,S,T,1.0
D,S,T,F,T,1.0
W,L,T,F,T,1.0
